City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taihecun,45.8,130.85,72.75,20,100,10.02,CN,1683862658
1,bethel,41.3712,-73.414,62.47,72,0,3.44,US,1683862616
2,puerto ayora,-0.7393,-90.3518,79.56,96,44,7.0,EC,1683862477
3,thompson,55.7435,-97.8558,51.96,62,20,8.05,CA,1683862616
4,college,64.8569,-147.8028,62.92,47,75,8.05,US,1683862620
5,mora,11.0461,14.1401,86.31,24,66,1.21,CM,1683862658
6,takehara,34.3383,132.9167,77.04,31,75,3.44,JP,1683862658
7,hami,42.8,93.45,80.04,7,68,5.66,CN,1683862658
8,carutapera,-1.195,-46.02,76.15,93,23,4.09,BR,1683862635
9,cabo san lucas,22.8909,-109.9124,76.6,49,20,18.41,MX,1683862549
10,wad medani,14.4012,33.5199,86.92,13,1,7.72,SD,1683862658
11,alesund,62.4723,6.1549,52.75,94,100,0.0,NO,1683862556
12,al bardiyah,31.7561,25.0865,62.64,82,0,7.74,LY,1683862658
13,adamstown,-25.066,-130.1015,72.1,60,100,16.91,PN,1683862616
14,ushuaia,-54.8,-68.3,51.46,54,75,3.44,AR,1683862326
15,yellowknife,62.456,-114.3525,59.52,38,75,4.61,CA,1683862616
16,invercargill,-46.4,168.35,53.35,79,83,8.68,NZ,1683862616
17,tsiombe,-25.3,45.4833,71.24,75,40,2.44,MG,1683862658
18,badger,64.8,-147.5333,62.85,41,40,8.05,US,1683862626
19,arteche,12.2645,125.4048,85.42,71,98,7.63,PH,1683862634
20,longyearbyen,78.2186,15.6401,22.84,80,75,8.05,SJ,1683862627
21,berala,-33.8754,151.0343,75.67,50,20,6.91,AU,1683862658
22,acajutla,13.5928,-89.8275,82.33,79,4,5.75,SV,1683862642
23,constitucion,-35.3333,-72.4167,58.24,68,71,7.87,CL,1683862641
24,avarua,-21.2078,-159.775,78.85,78,100,14.97,CK,1683862624
25,olonkinbyen,70.9221,-8.7187,32.9,91,81,15.59,SJ,1683862619
26,stanley,54.868,-1.6985,48.79,97,100,9.22,GB,1683862616
27,tiksi,71.6872,128.8694,15.51,77,93,16.02,RU,1683862624
28,san julian,21.0167,-102.1667,68.54,21,2,11.43,MX,1683862659
29,port mathurin,-19.6833,63.4167,77.92,77,70,22.53,MU,1683862634
30,port-aux-francais,-49.35,70.2167,46.56,92,100,47.29,TF,1683862616
31,waitangi,-43.9535,-176.5597,49.82,83,61,4.0,NZ,1683862616
32,edinburgh of the seven seas,-37.0676,-12.3116,62.89,87,94,28.03,SH,1683862619
33,grytviken,-54.2811,-36.5092,24.01,65,1,5.68,GS,1683862616
34,praia da vitoria,38.7333,-27.0667,62.76,100,75,6.85,PT,1683862659
35,bilibino,68.0546,166.4372,34.72,96,100,3.04,RU,1683862622
36,tolanaro,-25.0319,46.9987,73.47,94,40,13.8,MG,1683862628
37,afaahiti,-17.75,-149.2833,80.47,94,100,24.56,PF,1683862633
38,agat village,13.3886,144.6585,90.54,73,40,8.05,GU,1683862659
39,puerto natales,-51.7236,-72.4875,45.72,77,95,9.95,CL,1683862329
40,kingston,17.997,-76.7936,81.55,84,20,11.5,JM,1683862623
41,graham,47.0529,-122.2943,70.2,46,0,4.61,US,1683862552
42,bredasdorp,-34.5322,20.0403,52.59,79,89,12.15,ZA,1683862627
43,ulysses,37.5814,-101.3552,66.49,63,0,11.5,US,1683862659
44,ribeira grande,38.5167,-28.7,60.78,85,56,5.99,PT,1683862626
45,albany,42.6001,-73.9662,61.79,70,74,4.18,US,1683862516
46,papatowai,-46.5619,169.4708,52.23,90,100,9.48,NZ,1683862616
47,zapala,-38.8992,-70.0544,55.06,33,78,8.52,AR,1683862659
48,sisimiut,66.9395,-53.6735,26.83,84,100,12.75,GL,1683862635
49,udachny,66.4167,112.4,39.45,51,100,16.62,RU,1683862616
50,fonyod,46.7555,17.5795,50.18,95,100,10.94,HU,1683862659
51,rosso,16.4986,-15.8153,70.43,66,31,13.13,SN,1683862659
52,saynshand,44.8824,110.1163,56.3,31,45,12.01,MN,1683862659
53,tambopata,-12.7333,-69.1833,70.59,88,100,2.48,PE,1683862659
54,punta arenas,-53.15,-70.9167,46.51,76,75,10.36,CL,1683862618
55,aoulef,26.9667,1.0833,82.08,16,97,11.18,DZ,1683862659
56,ilulissat,69.2167,-51.1,26.62,93,100,13.8,GL,1683862619
57,aasiaat,68.7098,-52.8699,25.57,94,100,7.25,GL,1683862627
58,gadzhiyevo,69.2551,33.3362,38.52,100,100,7.05,RU,1683862660
59,kemijarvi,66.7131,27.4306,37.62,100,94,4.99,FI,1683862660
60,blackmans bay,-43.0167,147.3167,60.93,54,74,4.52,AU,1683862617
61,port hedland,-20.3167,118.5667,87.85,10,5,19.57,AU,1683862660
62,coquimbo,-29.9533,-71.3436,56.93,100,100,2.3,CL,1683862616
63,siwa oasis,29.2041,25.5195,65.41,66,0,5.79,EG,1683862660
64,xinpu,34.5997,119.1594,75.76,33,6,6.58,CN,1683862660
65,egilsstadir,65.2653,-14.3948,48.11,71,75,17.27,IS,1683862643
66,kudahuvadhoo,2.6708,72.8944,82.49,78,98,18.05,MV,1683862634
67,betio village,1.358,172.9211,89.64,78,100,11.81,KI,1683862661
68,natal,-5.795,-35.2094,79.02,83,40,4.61,BR,1683862461
69,sinabang,2.4803,96.3801,86.45,72,18,9.89,ID,1683862639
70,sao gabriel da cachoeira,-0.1303,-67.0892,72.01,98,70,1.05,BR,1683862637
71,morehead,37.2711,-87.1764,68.79,92,0,4.61,US,1683862661
72,trairi,-3.2778,-39.2689,75.7,88,66,3.38,BR,1683862576
73,aleksandrovsk-sakhalinskiy,50.8975,142.1561,43.97,61,5,7.0,RU,1683862661
